latidude	longitude
25.9117591	-80.1373431
25.9119063	-80.1369354
25.9126204	-80.1375416
25.9130329	-80.1378071
25.913279	-80.1379989
25.9132054	-80.1381384
25.9129147	-80.1379412
25.9129268	-80.1378715
25.9127266	-80.1377696
25.9127		-80.137842
25.9122995	-80.1376355
25.9118243	-80.1373605
25.9117701	-80.1373391
25.9117713	-80.1373144
25.9117799	-80.1372925
25.9119027	-80.1369505
25.9119132	-80.1369428
25.9119195	-80.1369477
25.912619	-80.1375481
25.9130323	-80.1378179
25.9132686	-80.1379924
25.9132739	-80.1380023
25.9132685	-80.1380108
25.9132112	-80.1381253
25.9132048	-80.1381334
25.9131959	-80.1381297
25.9129266	-80.1379463
25.9129187	-80.1379416
25.9129180	-80.1379328
25.9129283	-80.1378752
25.9129304	-80.1378689
25.9129233	-80.1378687
25.9127293	-80.1377672
25.9127256	-80.1377667
25.9127247	-80.1377715
25.9127015	-80.1378369
25.9126972	-80.1378392
25.9123010	-80.1376325
25.9118243	-80.1373605
25.9117701	-80.1373391
25.9117713	-80.1373144
25.9117799	-80.1372925
25.9119027	-80.1369505
25.9119132	-80.1369428
25.9119195	-80.1369477
25.912619	-80.1375481
25.9130323	-80.1378179
25.9132686	-80.1379924
25.9132739	-80.1380023
25.9132685	-80.1380108
25.9132112	-80.1381253
25.9132048	-80.1381334
25.9131959	-80.1381297
25.9129266	-80.1379463
25.9129187	-80.1379416
25.9129180	-80.1379328
25.9129283	-80.1378752
25.9129304	-80.1378689
25.9129233	-80.1378687
25.9127293	-80.1377672
25.9127256	-80.1377667
25.9127247	-80.1377715
25.9127015	-80.1378369
25.9126972	-80.1378392
25.9123010	-80.1376325
25.9118243	-80.1373605
25.9117701	-80.1373391
25.9117713	-80.1373144
25.9117799	-80.1372925
25.9119027	-80.1369505
25.9119132	-80.1369428
25.9119195	-80.1369477
25.912619	-80.1375481
25.9130323	-80.1378179
25.9132686	-80.1379924
25.9132739	-80.1380023
25.9132685	-80.1380108
25.9132112	-80.1381253
25.9132048	-80.1381334
25.9131959	-80.1381297
25.9129266	-80.1379463
25.9129187	-80.1379416
25.9129180	-80.1379328
25.9129283	-80.1378752
25.9129304	-80.1378689
25.9129233	-80.1378687
25.9127293	-80.1377672
25.9127256	-80.1377667
25.9127247	-80.1377715
25.9127015	-80.1378369
25.9126972	-80.1378392
25.9123010	-80.1376325
25.9118243	-80.1373605
25.9117701	-80.1373391
25.9117713	-80.1373144
25.9117799	-80.1372925
25.9119027	-80.1369505
25.9119132	-80.1369428
25.9119195	-80.1369477
25.912619	-80.1375481
25.9130323	-80.1378179
25.9132686	-80.1379924
25.9132739	-80.1380023
25.9132685	-80.1380108
25.9132112	-80.1381253
25.9132048	-80.1381334
25.9131959	-80.1381297
25.9129266	-80.1379463
25.9129187	-80.1379416
25.9129180	-80.1379328
25.9129283	-80.1378752
25.9129304	-80.1378689
25.9129233	-80.1378687
25.9127293	-80.1377672
25.9127256	-80.1377667
25.9127247	-80.1377715
25.9127015	-80.1378369
25.9126972	-80.1378392
25.9123010	-80.1376325
